SALES_REGION,STATE,COUNTY,PDF_NAME,PAYOR,PLAN_TYPE,SNP_TYPE,PLAN_NAME
All,California,Alameda,H0523-070-000.pdf,CVS Health Corporation,HMO-POS,Non-SNP,Aetna Medicare Signature Extra (HMO-POS) H0523-070-000
All,California,Alameda,H0524-032-000.pdf,"Kaiser Foundation Health Plan, Inc.",HMO,Non-SNP,"Kaiser Permanente Senior Advantage Alam., SF, Napa (HMO) H0524-032-000"
All,California,Alameda,H0524-059-000.pdf,"Kaiser Foundation Health Plan, Inc.",HMO,Non-SNP,Kaiser Permanente Senior Advantage Basic Alameda (HMO) H0524-059-000
All,California,Alameda,H0543-188-000.pdf,"UnitedHealth Group, Inc.",HMO-POS,Non-SNP,AARP Medicare Advantage from UHC CA-7 (HMO-POS) H0543-188-000
All,California,Alameda,H0543-249-000.pdf,"UnitedHealth Group, Inc.",HMO-POS,Chronic or Disabling Condition,UHC Complete Care Support CA-8AP (HMO-POS C-SNP) H0543-249-000
All,California,Alameda,H0544-098-000.pdf,"Elevance Health, Inc.",HMO-POS,Non-SNP,Anthem Select (HMO-POS) H0544-098-000
All,California,Alameda,H4161-005-000.pdf,"Elevance Health, Inc.",HMO-POS,Non-SNP,Anthem Prime (HMO-POS) H4161-005-000
All,California,Alameda,H4982-007-000.pdf,CVS Health Corporation,HMO,Non-SNP,Aetna Medicare Signature (HMO) H4982-007-000
All,California,Alameda,H5425-075-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Classic (HMO) H5425-075-000
All,California,Alameda,H5425-076-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Balance (HMO C-SNP) H5425-076-000
All,California,Alameda,H5425-098-000.pdf,SCAN Group,HMO,Chronic or Disabling Condition,SCAN Strive (HMO C-SNP) H5425-098-000
All,California,Alameda,H5425-110-000.pdf,SCAN Group,HMO,Non-SNP,SCAN MyChoice (HMO) H5425-110-000
All,California,Alameda,H5425-124-000.pdf,SCAN Group,HMO,Non-SNP,SCAN Compass (HMO) H5425-124-000
All,California,Alameda,H5521-369-000.pdf,CVS Health Corporation,Local PPO *,Non-SNP,Aetna Medicare Eagle (PPO) H5521-369-000
All,California,Alameda,H5521-425-000.pdf,CVS Health Corporation,Local PPO,Non-SNP,Aetna Medicare Signature (PPO) H5521-425-000
All,California,Alameda,H5521-581-000.pdf,CVS Health Corporation,Local PPO,Non-SNP,Aetna Medicare Enhanced (PPO) H5521-581-000
